city|description
Аксу́| р., сливаясь с р. Таук, образует р. Эль-Узайм; Ирак
Аксу́| р., сливаясь с р. Яркенд, образует р. Тарим; Китай
А́ксум| Эфиопия, пров. Тыграй
Актео́н| о-ва, Тихий океан, о-ва Туамоту; Французская Полинезия
А́ктон| Великобритания, Англия, метроп. граф. Большой Лондон
А́куила| Италия, см. Л’А́куила
Аку́лурак| США, шт. Аляска
Акуне́| Япония, преф. Кагосима, о. Кюсю
Аку́нья| Мексика, шт. Коауила
Акурака́й| Перу, деп. Лорето
Аку́ре| Нигерия, адм. центр шт. Ондо
Акусе́ки| о., Тихий океан, о-ва Рюкю (Нансей); Япония
Акута́н| США, шт. Аляска
Акута́н| о., Тихий океан, Алеутские о-ва; США
Акхиса́р| Турция, иль Маниса
Акча́| Афганистан, пров. Джаузджан
Акчааба́д| Турция, иль Трабзон
Акчада́г| Турция, иль Малатья
Акча́й| р., прав. приток р. Аракс; Иран
Акча́й| р., лев. приток р. Большой Мендерес; Турция
Акчакале́| Турция, иль Урфа
Акчакоджа́| Турция, иль Болу
Акша́р| географ. обл., Мавритания
Акшехи́р| Турция, иль Конья
Акшехи́р| оз., Турция, иль Конья
Акья́б| Бирма, см. Ситуэ́ (Акья́б)
А́кюрейри| Исландия, адм. центр сислы Эйяфьярдар
Алаба́ма| р., сливаясь с р. Томбигби, образует р. Мобил; США
Алаба́ма| шт., США
А́лава| пров., Испания
Алаго́ас| шт., Бразилия
Алагои́ньяс| Бразилия, шт. Баия
Алаго́н| Испания, пров. Сарагоса
Алаго́н| р., прав. приток р. Тахо; Испания
Ала́гхайрха́н-У́ла| г., выс. 3731 м, горн. сист. Монгольский Алтай; Монголия
Аладжа́| Турция, иль Чорум
Ала́йя| плато, Саудовская Аравия, см. Ула́йя, плато
Ала́ма-де-Грана́да| Испания, пров. Гранада
Ала́ма-де-Му́рсия| Испания, пров. Мурсия
Алами́да| США, шт. Калифорния
Аламого́рдо| США, шт. Нью-Мексико
А́ламос| Мексика, шт. Сонора
Аламо́са| США, шт. Колорадо
А́ланд| ляни, Финляндия, см. А́хвенанмаа, ляни
А́ланд| о., Балтийское море, Аландские о-ва; Финляндия
Ала́ндские острова́| Балтийское море; Финляндия
А́ланес| Швеция, лен Емтланд
Аланмьо́| Бирма, см. Аунла́н
Алансо́н| Франция, адм. центр деп. Орн
Ала́нья| Турция, иль Анталья
Ала́р-дель-Рей| Испания, пров. Паленсия
Аларко́н| вдхр., на р. Хукар; Испания, пров. Куэнка
Алато́с| Испания, пров. Альбасете
Алаури́н-эль-Гра́нде| Испания, пров. Малага
Алауси́| Эквадор, пров. Чимборасо
Алахуэ́ла| Коста-Рика, адм. центр пров. Алахуэла
Алахуэ́ла| оз., Панама
Алахуэ́ла| пров., Коста-Рика
Алача́м| Турция, иль Самсун
Алаша́нь| пуст., Китай
Алашехи́р| Турция, иль Маниса
А́лба| уезд, Румыния
А́лбани| Австралия, шт. Западная Австралия
Алба́ния| Наро́дная Социалисти́ческая Респу́блика Алба́ния, гос-во, Юго-Восточная Европа
Алба́нская Ривье́ра| побережье, Албания
А́лба-Ю́лия| Румыния, адм. центр уезда Алба
А́лбемарл| зал., Атлантический океан, вост. побережье США
А́лбемарл| о., Эквадор, см. Исабе́ла (А́лбемарл), о.
Албе́рга| р., теряется в песках; Австралия
А́лбери| Австралия, см. О́лбери
Алби́на| м., зап. побережье Африки; Ангола
Албуфе́йра| Португалия, пров. Алгарви
А́лва| США, шт. Оклахома
А́лва| о., Атлантический океан, Внутренние Гебридские о-ва; Великобритания
Алва́е| Индия, шт. Керала
А́лвар| Индия, шт. Раджастхан
А́лвариш| Португалия, пров. Бейра-Литорал
А́лверстон| Великобритания, Англия, граф. Камбрия
Алга́рви| пров., Португалия
Алго́а| бух., юго-вост. побережье ЮАР
Алго́ма| Канада, пров. Онтарио
Алго́нкин| пров. парк, Канада, пров. Онтарио
Алде́я-да-По́нти| Португалия, пров. Бейра-Алта
Алде́я-Но́ва| Португалия, см. Алде́я-Но́ва-ди-Сан-Бе́нту
